SourceFile,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20220926_115852_Jl.-Nyak-ada-kamil-l-0+300.JPG,20220926_115852_Jl.-Nyak-ada-kamil-l-0+300.JPG,2022:09:26 11:58:52,"5 deg 32' 45.47"" N, 95 deg 19' 9.94"" E","Jl. Nyak ada kamil l
0+300"
D:/Data/20220926_115907_Jl.-Nyak-ada-kamil-l-0+350.JPG,20220926_115907_Jl.-Nyak-ada-kamil-l-0+350.JPG,2022:09:26 11:59:07,"5 deg 32' 45.37"" N, 95 deg 19' 11.92"" E","Jl. Nyak ada kamil l
0+350"
D:/Data/20220926_115921_Jl.-Nyak-ada-kamil-lv-0+000.JPG,20220926_115921_Jl.-Nyak-ada-kamil-lv-0+000.JPG,2022:09:26 11:59:21,"5 deg 32' 44.90"" N, 95 deg 19' 12.63"" E","Jl. Nyak ada kamil lv
0+000"
D:/Data/20220926_115939_Jl.-Nyak-ada-kamil-lv-0+050.JPG,20220926_115939_Jl.-Nyak-ada-kamil-lv-0+050.JPG,2022:09:26 11:59:39,"5 deg 32' 43.39"" N, 95 deg 19' 12.55"" E","Jl. Nyak ada kamil lv
0+050"
D:/Data/20220926_115954_Jl.-Nyak-ada-kamil-lv-0+100.JPG,20220926_115954_Jl.-Nyak-ada-kamil-lv-0+100.JPG,2022:09:26 11:59:54,"5 deg 32' 41.35"" N, 95 deg 19' 12.35"" E","Jl. Nyak ada kamil lv
0+100"
D:/Data/20220926_120007_Jl.-Nyak-ada-kamil-lv-0+150.JPG,20220926_120007_Jl.-Nyak-ada-kamil-lv-0+150.JPG,2022:09:26 12:00:07,"5 deg 32' 39.65"" N, 95 deg 19' 12.44"" E","Jl. Nyak ada kamil lv
0+150"
D:/Data/20220926_120020_Jl.-Nyak-ada-kamil-lv-0+200.JPG,20220926_120020_Jl.-Nyak-ada-kamil-lv-0+200.JPG,2022:09:26 12:00:20,"5 deg 32' 37.76"" N, 95 deg 19' 12.38"" E","Jl. Nyak ada kamil lv
0+200"
D:/Data/20220926_120032_Jl.-Nyak-ada-kamil-lv-0+250.JPG,20220926_120032_Jl.-Nyak-ada-kamil-lv-0+250.JPG,2022:09:26 12:00:32,"5 deg 32' 36.64"" N, 95 deg 19' 12.33"" E","Jl. Nyak ada kamil lv
0+250"
D:/Data/20220926_120342_Jl.-Nyak-ada-kamil-lll-0+000.JPG,20220926_120342_Jl.-Nyak-ada-kamil-lll-0+000.JPG,2022:09:26 12:03:42,"5 deg 32' 45.61"" N, 95 deg 19' 2.74"" E","Jl. Nyak ada kamil lll
0+000"
D:/Data/20220926_120353_Jl.-Nyak-ada-kamil-lll-0+050.JPG,20220926_120353_Jl.-Nyak-ada-kamil-lll-0+050.JPG,2022:09:26 12:03:53,"5 deg 32' 44.27"" N, 95 deg 19' 2.33"" E","Jl. Nyak ada kamil lll
0+050"
D:/Data/20220926_120405_Jl.-Nyak-ada-kamil-lll-0+100.JPG,20220926_120405_Jl.-Nyak-ada-kamil-lll-0+100.JPG,2022:09:26 12:04:05,"5 deg 32' 42.28"" N, 95 deg 19' 2.22"" E","Jl. Nyak ada kamil lll
0+100"
D:/Data/20220926_120415_Jl.-Nyak-ada-kamil-lll-0+150.JPG,20220926_120415_Jl.-Nyak-ada-kamil-lll-0+150.JPG,2022:09:26 12:04:15,"5 deg 32' 41.06"" N, 95 deg 19' 2.20"" E","Jl. Nyak ada kamil lll
0+150"
D:/Data/20220926_120425_Jl.-Nyak-ada-kamil-lll-0+200.JPG,20220926_120425_Jl.-Nyak-ada-kamil-lll-0+200.JPG,2022:09:26 12:04:25,"5 deg 32' 39.16"" N, 95 deg 19' 2.14"" E","Jl. Nyak ada kamil lll
0+200"
D:/Data/20220926_120438_Jl.-Nyak-ada-kamil-lll-0+265.JPG,20220926_120438_Jl.-Nyak-ada-kamil-lll-0+265.JPG,2022:09:26 12:04:38,"5 deg 32' 37.42"" N, 95 deg 19' 2.00"" E","Jl. Nyak ada kamil lll
0+265"
D:/Data/20220926_120450_Jl.-Nyak-ada-kamil-ll-0+000.JPG,20220926_120450_Jl.-Nyak-ada-kamil-ll-0+000.JPG,2022:09:26 12:04:50,"5 deg 32' 37.09"" N, 95 deg 19' 1.97"" E","Jl. Nyak ada kamil ll
0+000"
D:/Data/20220926_120512_Jl.-Nyak-ada-kamil-ll-0+100.JPG,20220926_120512_Jl.-Nyak-ada-kamil-ll-0+100.JPG,2022:09:26 12:05:12,"5 deg 32' 36.69"" N, 95 deg 19' 5.51"" E","Jl. Nyak ada kamil ll
0+100"
D:/Data/20220926_120530_Jl.-Nyak-ada-kamil-ll-0+200.JPG,20220926_120530_Jl.-Nyak-ada-kamil-ll-0+200.JPG,2022:09:26 12:05:30,"5 deg 32' 36.52"" N, 95 deg 19' 9.17"" E","Jl. Nyak ada kamil ll
0+200"
D:/Data/20220926_120544_Jl.-Nyak-ada-kamil-ll-0+300.JPG,20220926_120544_Jl.-Nyak-ada-kamil-ll-0+300.JPG,2022:09:26 12:05:44,"5 deg 32' 36.33"" N, 95 deg 19' 12.14"" E","Jl. Nyak ada kamil ll
0+300"
D:/Data/20220926_120602_Jl.-Nyak-ada-kamil-ll-0+400.JPG,20220926_120602_Jl.-Nyak-ada-kamil-ll-0+400.JPG,2022:09:26 12:06:02,"5 deg 32' 36.29"" N, 95 deg 19' 14.56"" E","Jl. Nyak ada kamil ll
0+400"
D:/Data/20220926_120626_Jl.-Nyak-ada-kamil-ll-0+500.JPG,20220926_120626_Jl.-Nyak-ada-kamil-ll-0+500.JPG,2022:09:26 12:06:26,"5 deg 32' 36.11"" N, 95 deg 19' 17.96"" E","Jl. Nyak ada kamil ll
0+500"
D:/Data/20220926_120647_Jl.-Nyak-ada-kamil-ll-0+600.JPG,20220926_120647_Jl.-Nyak-ada-kamil-ll-0+600.JPG,2022:09:26 12:06:47,"5 deg 32' 35.82"" N, 95 deg 19' 19.47"" E","Jl. Nyak ada kamil ll
0+600"
